Temperature Data for Maldives (derived from WMO normals and GSA data);;;;;;;
;;;;
Provider;Generated from WMO Climate Normals 1981-2010;;;;;;;;;;
2024.0;11.0;27.0;17.0;30.64;30.64;29.64;31.64;2;26.6;80;4.5
2024.0;11.0;27.0;18.0;31.05;31.05;30.05;32.05;2;27.1;80;4.5
2024.0;11.0;27.0;19.0;29.49;29.49;28.49;30.49;2;25.5;80;4.5
2024.0;11.0;27.0;20.0;29.49;29.49;28.49;30.49;2;25.5;80;4.5
2024.0;11.0;27.0;21.0;29.21;29.21;28.21;30.21;2;25.2;80;4.5
2024.0;11.0;27.0;22.0;27.74;27.74;26.74;28.74;2;23.7;80;4.5
2024.0;11.0;27.0;23.0;27.66;27.66;26.66;28.66;2;23.7;80;4.5
2024.0;11.0;27.0;24.0;26.87;26.87;25.87;27.87;2;22.9;80;4.5
2024.0;11.0;28.0;1.0;27.14;27.14;26.14;28.14;2;23.1;80;4.5
2024.0;11.0;28.0;2.0;26.98;26.98;25.98;27.98;2;23.0;80;4.5
2024.0;11.0;28.0;3.0;27.38;27.38;26.38;28.38;2;23.4;80;4.5
2024.0;11.0;28.0;4.0;27.35;27.35;26.35;28.35;2;23.4;80;4.5
2024.0;11.0;28.0;5.0;27.26;27.26;26.26;28.26;2;23.3;80;4.5
2024.0;11.0;28.0;6.0;28.16;28.16;27.16;29.16;2;24.2;80;4.5
2024.0;11.0;28.0;7.0;28.05;28.05;27.05;29.05;2;24.1;80;4.5
2024.0;11.0;28.0;8.0;27.9;27.9;26.90;28.90;2;23.9;80;4.5
2024.0;11.0;28.0;9.0;29.74;29.74;28.74;30.74;2;25.7;80;4.5
2024.0;11.0;28.0;10.0;29.86;29.86;28.86;30.86;2;25.9;80;4.5
2024.0;11.0;28.0;11.0;29.87;29.87;28.87;30.87;2;25.9;80;4.5
2024.0;11.0;28.0;12.0;30.34;30.34;29.34;31.34;2;26.3;80;4.5
2024.0;11.0;28.0;13.0;30.35;30.35;29.35;31.35;2;26.4;80;4.5
2024.0;11.0;28.0;14.0;30.42;30.42;29.42;31.42;2;26.4;80;4.5
2024.0;11.0;28.0;15.0;30.27;30.27;29.27;31.27;2;26.3;80;4.5
2024.0;11.0;28.0;16.0;31.15;31.15;30.15;32.15;2;27.1;80;4.5
2024.0;11.0;28.0;17.0;30.44;30.44;29.44;31.44;2;26.4;80;4.5
2024.0;11.0;28.0;18.0;30.52;30.52;29.52;31.52;2;26.5;80;4.5
2024.0;11.0;28.0;19.0;30.72;30.72;29.72;31.72;2;26.7;80;4.5
2024.0;11.0;28.0;20.0;28.87;28.87;27.87;29.87;2;24.9;80;4.5
2024.0;11.0;28.0;21.0;28.6;28.6;27.60;29.60;2;24.6;80;4.5
2024.0;11.0;28.0;22.0;27.9;27.9;26.90;28.90;2;23.9;80;4.5
2024.0;11.0;28.0;23.0;27.51;27.51;26.51;28.51;2;23.5;80;4.5
2024.0;11.0;28.0;24.0;28.08;28.08;27.08;29.08;2;24.1;80;4.5
2024.0;11.0;29.0;1.0;27.58;27.58;26.58;28.58;2;23.6;80;4.5
2024.0;11.0;29.0;2.0;27.63;27.63;26.63;28.63;2;23.6;80;4.5
2024.0;11.0;29.0;3.0;27.67;27.67;26.67;28.67;2;23.7;80;4.5
2024.0;11.0;29.0;4.0;26.29;26.29;25.29;27.29;2;22.3;80;4.5
2024.0;11.0;29.0;5.0;27.34;27.34;26.34;28.34;2;23.3;80;4.5
2024.0;11.0;29.0;6.0;27.8;27.8;26.80;28.80;2;23.8;80;4.5
2024.0;11.0;29.0;7.0;27.96;27.96;26.96;28.96;2;24.0;80;4.5
2024.0;11.0;29.0;8.0;28.63;28.63;27.63;29.63;2;24.6;80;4.5
2024.0;11.0;29.0;9.0;29.85;29.85;28.85;30.85;2;25.9;80;4.5
2024.0;11.0;29.0;10.0;30.13;30.13;29.13;31.13;2;26.1;80;4.5
2024.0;11.0;29.0;11.0;29.72;29.72;28.72;30.72;2;25.7;80;4.5
2024.0;11.0;29.0;12.0;29.91;29.91;28.91;30.91;2;25.9;80;4.5
2024.0;11.0;29.0;13.0;30.99;30.99;29.99;31.99;2;27.0;80;4.5
2024.0;11.0;29.0;14.0;29.55;29.55;28.55;30.55;2;25.6;80;4.5
2024.0;11.0;29.0;15.0;30.11;30.11;29.11;31.11;2;26.1;80;4.5
2024.0;11.0;29.0;16.0;31.88;31.88;30.88;32.88;2;27.9;80;4.5
2024.0;11.0;29.0;17.0;30.79;30.79;29.79;31.79;2;26.8;80;4.5
2024.0;11.0;29.0;18.0;30.69;30.69;29.69;31.69;2;26.7;80;4.5
2024.0;11.0;29.0;19.0;29.13;29.13;28.13;30.13;2;25.1;80;4.5
2024.0;11.0;29.0;20.0;29.22;29.22;28.22;30.22;2;25.2;80;4.5
2024.0;11.0;29.0;21.0;29.4;29.4;28.40;30.40;2;25.4;80;4.5
2024.0;11.0;29.0;22.0;27.83;27.83;26.83;28.83;2;23.8;80;4.5
2024.0;11.0;29.0;23.0;28.23;28.23;27.23;29.23;2;24.2;80;4.5
2024.0;11.0;29.0;24.0;27.73;27.73;26.73;28.73;2;23.7;80;4.5
2024.0;11.0;30.0;1.0;26.84;26.84;25.84;27.84;2;22.8;80;4.5
2024.0;11.0;30.0;2.0;26.62;26.62;25.62;27.62;2;22.6;80;4.5
2024.0;11.0;30.0;3.0;26.86;26.86;25.86;27.86;2;22.9;80;4.5
2024.0;11.0;30.0;4.0;27.06;27.06;26.06;28.06;2;23.1;80;4.5
2024.0;11.0;30.0;5.0;27.18;27.18;26.18;28.18;2;23.2;80;4.5
2024.0;11.0;30.0;6.0;28.03;28.03;27.03;29.03;2;24.0;80;4.5
2024.0;11.0;30.0;7.0;27.4;27.4;26.40;28.40;2;23.4;80;4.5
2024.0;11.0;30.0;8.0;28.39;28.39;27.39;29.39;2;24.4;80;4.5
2024.0;11.0;30.0;9.0;28.52;28.52;27.52;29.52;2;24.5;80;4.5
2024.0;11.0;30.0;10.0;29.14;29.14;28.14;30.14;2;25.1;80;4.5
2024.0;11.0;30.0;11.0;29.41;29.41;28.41;30.41;2;25.4;80;4.5
2024.0;11.0;30.0;12.0;29.69;29.69;28.69;30.69;2;25.7;80;4.5
2024.0;11.0;30.0;13.0;30.54;30.54;29.54;31.54;2;26.5;80;4.5
2024.0;11.0;30.0;14.0;31.12;31.12;30.12;32.12;2;27.1;80;4.5
2024.0;11.0;30.0;15.0;30.52;30.52;29.52;31.52;2;26.5;80;4.5
2024.0;11.0;30.0;16.0;30.59;30.59;29.59;31.59;2;26.6;80;4.5
2024.0;11.0;30.0;17.0;30.07;30.07;29.07;31.07;2;26.1;80;4.5
2024.0;11.0;30.0;18.0;30.29;30.29;29.29;31.29;2;26.3;80;4.5
2024.0;11.0;30.0;19.0;29.73;29.73;28.73;30.73;2;25.7;80;4.5
2024.0;11.0;30.0;20.0;29.45;29.45;28.45;30.45;2;25.4;80;4.5
2024.0;11.0;30.0;21.0;28.79;28.79;27.79;29.79;2;24.8;80;4.5
2024.0;11.0;30.0;22.0;28.17;28.17;27.17;29.17;2;24.2;80;4.5
2024.0;11.0;30.0;23.0;27.57;27.57;26.57;28.57;2;23.6;80;4.5
2024.0;11.0;30.0;24.0;26.82;26.82;25.82;27.82;2;22.8;80;4.5
2024.0;12.0;1.0;1.0;25.66;25.66;24.66;26.66;2;21.7;80;4.5
2024.0;12.0;1.0;2.0;27.39;27.39;26.39;28.39;2;23.4;80;4.5
2024.0;12.0;1.0;3.0;26.36;26.36;25.36;27.36;2;22.4;80;4.5
2024.0;12.0;1.0;4.0;26.11;26.11;25.11;27.11;2;22.1;80;4.5
2024.0;12.0;1.0;5.0;26.88;26.88;25.88;27.88;2;22.9;80;4.5
2024.0;12.0;1.0;6.0;27.1;27.1;26.10;28.10;2;23.1;80;4.5
2024.0;12.0;1.0;7.0;27.23;27.23;26.23;28.23;2;23.2;80;4.5
2024.0;12.0;1.0;8.0;27.57;27.57;26.57;28.57;2;23.6;80;4.5
2024.0;12.0;1.0;9.0;28.28;28.28;27.28;29.28;2;24.3;80;4.5
2024.0;12.0;1.0;10.0;28.44;28.44;27.44;29.44;2;24.4;80;4.5
2024.0;12.0;1.0;11.0;29.79;29.79;28.79;30.79;2;25.8;80;4.5
2024.0;12.0;1.0;12.0;29.82;29.82;28.82;30.82;2;25.8;80;4.5
2024.0;12.0;1.0;13.0;29.56;29.56;28.56;30.56;2;25.6;80;4.5
2024.0;12.0;1.0;14.0;30.55;30.55;29.55;31.55;2;26.6;80;4.5
2024.0;12.0;1.0;15.0;30.09;30.09;29.09;31.09;2;26.1;80;4.5
2024.0;12.0;1.0;16.0;31.08;31.08;30.08;32.08;2;27.1;80;4.5
2024.0;12.0;1.0;17.0;30.2;30.2;29.20;31.20;2;26.2;80;4.5
2024.0;12.0;1.0;18.0;30.33;30.33;29.33;31.33;2;26.3;80;4.5
2024.0;12.0;1.0;19.0;30.46;30.46;29.46;31.46;2;26.5;80;4.5
2024.0;12.0;1.0;20.0;28.4;28.4;27.40;29.40;2;24.4;80;4.5
2024.0;12.0;1.0;21.0;29.14;29.14;28.14;30.14;2;25.1;80;4.5
2024.0;12.0;1.0;22.0;28.67;28.67;27.67;29.67;2;24.7;80;4.5
2024.0;12.0;1.0;23.0;27.88;27.88;26.88;28.88;2;23.9;80;4.5
2024.0;12.0;1.0;24.0;26.92;26.92;25.92;27.92;2;22.9;80;4.5
2024.0;12.0;2.0;1.0;26.98;26.98;25.98;27.98;2;23.0;80;4.5
2024.0;12.0;2.0;2.0;27.56;27.56;26.56;28.56;2;23.6;80;4.5
2024.0;12.0;2.0;3.0;26.36;26.36;25.36;27.36;2;22.4;80;4.5
2024.0;12.0;2.0;4.0;26.88;26.88;25.88;27.88;2;22.9;80;4.5
2024.0;12.0;2.0;5.0;27.1;27.1;26.10;28.10;2;23.1;80;4.5
2024.0;12.0;2.0;6.0;26.98;26.98;25.98;27.98;2;23.0;80;4.5
2024.0;12.0;2.0;7.0;27.95;27.95;26.95;28.95;2;23.9;80;4.5
2024.0;12.0;2.0;8.0;28.03;28.03;27.03;29.03;2;24.0;80;4.5
2024.0;12.0;2.0;9.0;28.41;28.41;27.41;29.41;2;24.4;80;4.5
2024.0;12.0;2.0;10.0;29.51;29.51;28.51;30.51;2;25.5;80;4.5
2024.0;12.0;2.0;11.0;30.04;30.04;29.04;31.04;2;26.0;80;4.5
2024.0;12.0;2.0;12.0;29.44;29.44;28.44;30.44;2;25.4;80;4.5
2024.0;12.0;2.0;13.0;29.94;29.94;28.94;30.94;2;25.9;80;4.5
2024.0;12.0;2.0;14.0;31.05;31.05;30.05;32.05;2;27.1;80;4.5
2024.0;12.0;2.0;15.0;30.05;30.05;29.05;31.05;2;26.1;80;4.5
2024.0;12.0;2.0;16.0;31.69;31.69;30.69;32.69;2;27.7;80;4.5
2024.0;12.0;2.0;17.0;29.9;29.9;28.90;30.90;2;25.9;80;4.5
2024.0;12.0;2.0;18.0;29.76;29.76;28.76;30.76;2;25.8;80;4.5
2024.0;12.0;2.0;19.0;29.69;29.69;28.69;30.69;2;25.7;80;4.5
2024.0;12.0;2.0;20.0;30.33;30.33;29.33;31.33;2;26.3;80;4.5
2024.0;12.0;2.0;21.0;27.88;27.88;26.88;28.88;2;23.9;80;4.5
2024.0;12.0;2.0;22.0;27.8;27.8;26.80;28.80;2;23.8;80;4.5
2024.0;12.0;2.0;23.0;27.22;27.22;26.22;28.22;2;23.2;80;4.5
2024.0;12.0;2.0;24.0;26.89;26.89;25.89;27.89;2;22.9;80;4.5
2024.0;12.0;3.0;1.0;26.25;26.25;25.25;27.25;2;22.2;80;4.5
2024.0;12.0;3.0;2.0;26.48;26.48;25.48;27.48;2;22.5;80;4.5
2024.0;12.0;3.0;3.0;26.65;26.65;25.65;27.65;2;22.6;80;4.5
2024.0;12.0;3.0;4.0;26.92;26.92;25.92;27.92;2;22.9;80;4.5
2024.0;12.0;3.0;5.0;26.96;26.96;25.96;27.96;2;23.0;80;4.5
2024.0;12.0;3.0;6.0;26.65;26.65;25.65;27.65;2;22.6;80;4.5
2024.0;12.0;3.0;7.0;27.65;27.65;26.65;28.65;2;23.6;80;4.5
2024.0;12.0;3.0;8.0;28.88;28.88;27.88;29.88;2;24.9;80;4.5
2024.0;12.0;3.0;9.0;28.18;28.18;27.18;29.18;2;24.2;80;4.5
2024.0;12.0;3.0;10.0;29.7;29.7;28.70;30.70;2;25.7;80;4.5
2024.0;12.0;3.0;11.0;29.25;29.25;28.25;30.25;2;25.2;80;4.5
2024.0;12.0;3.0;12.0;30.4;30.4;29.40;31.40;2;26.4;80;4.5
2024.0;12.0;3.0;13.0;30.03;30.03;29.03;31.03;2;26.0;80;4.5
2024.0;12.0;3.0;14.0;30.74;30.74;29.74;31.74;2;26.7;80;4.5
2024.0;12.0;3.0;15.0;30.57;30.57;29.57;31.57;2;26.6;80;4.5
2024.0;12.0;3.0;16.0;31.04;31.04;30.04;32.04;2;27.0;80;4.5
2024.0;12.0;3.0;17.0;30.53;30.53;29.53;31.53;2;26.5;80;4.5
2024.0;12.0;3.0;18.0;29.56;29.56;28.56;30.56;2;25.6;80;4.5
2024.0;12.0;3.0;19.0;29.32;29.32;28.32;30.32;2;25.3;80;4.5
2024.0;12.0;3.0;20.0;29.11;29.11;28.11;30.11;2;25.1;80;4.5
2024.0;12.0;3.0;21.0;28.46;28.46;27.46;29.46;2;24.5;80;4.5
2024.0;12.0;3.0;22.0;27.49;27.49;26.49;28.49;2;23.5;80;4.5
2024.0;12.0;3.0;23.0;27.7;27.7;26.70;28.70;2;23.7;80;4.5
2024.0;12.0;3.0;24.0;26.97;26.97;25.97;27.97;2;23.0;80;4.5
2024.0;12.0;4.0;1.0;26.33;26.33;25.33;27.33;2;22.3;80;4.5
2024.0;12.0;4.0;2.0;27.54;27.54;26.54;28.54;2;23.5;80;4.5
2024.0;12.0;4.0;3.0;25.14;25.14;24.14;26.14;2;21.1;80;4.5
2024.0;12.0;4.0;4.0;26.12;26.12;25.12;27.12;2;22.1;80;4.5
2024.0;12.0;4.0;5.0;28.25;28.25;27.25;29.25;2;24.2;80;4.5
2024.0;12.0;4.0;6.0;26.64;26.64;25.64;27.64;2;22.6;80;4.5
2024.0;12.0;4.0;7.0;27.9;27.9;26.90;28.90;2;23.9;80;4.5
2024.0;12.0;4.0;8.0;27.97;27.97;26.97;28.97;2;24.0;80;4.5
2024.0;12.0;4.0;9.0;28.46;28.46;27.46;29.46;2;24.5;80;4.5
2024.0;12.0;4.0;10.0;28.87;28.87;27.87;29.87;2;24.9;80;4.5
2024.0;12.0;4.0;11.0;29.27;29.27;28.27;30.27;2;25.3;80;4.5
2024.0;12.0;4.0;12.0;29.84;29.84;28.84;30.84;2;25.8;80;4.5
2024.0;12.0;4.0;13.0;30.68;30.68;29.68;31.68;2;26.7;80;4.5
2024.0;12.0;4.0;14.0;29.77;29.77;28.77;30.77;2;25.8;80;4.5
2024.0;12.0;4.0;15.0;31.52;31.52;30.52;32.52;2;27.5;80;4.5
2024.0;12.0;4.0;16.0;30.07;30.07;29.07;31.07;2;26.1;80;4.5
2024.0;12.0;4.0;17.0;29.85;29.85;28.85;30.85;2;25.9;80;4.5
2024.0;12.0;4.0;18.0;30.23;30.23;29.23;31.23;2;26.2;80;4.5
2024.0;12.0;4.0;19.0;28.6;28.6;27.60;29.60;2;24.6;80;4.5
2024.0;12.0;4.0;20.0;29.21;29.21;28.21;30.21;2;25.2;80;4.5
2024.0;12.0;4.0;21.0;28.53;28.53;27.53;29.53;2;24.5;80;4.5
2024.0;12.0;4.0;22.0;28.12;28.12;27.12;29.12;2;24.1;80;4.5
2024.0;12.0;4.0;23.0;26.99;26.99;25.99;27.99;2;23.0;80;4.5
2024.0;12.0;4.0;24.0;26.75;26.75;25.75;27.75;2;22.8;80;4.5
2024.0;12.0;5.0;1.0;26.6;26.6;25.60;27.60;2;22.6;80;4.5
2024.0;12.0;5.0;2.0;27.43;27.43;26.43;28.43;2;23.4;80;4.5
2024.0;12.0;5.0;3.0;27.04;27.04;26.04;28.04;2;23.0;80;4.5
2024.0;12.0;5.0;4.0;26.73;26.73;25.73;27.73;2;22.7;80;4.5
2024.0;12.0;5.0;5.0;27.04;27.04;26.04;28.04;2;23.0;80;4.5
2024.0;12.0;5.0;6.0;26.53;26.53;25.53;27.53;2;22.5;80;4.5
2024.0;12.0;5.0;7.0;27.7;27.7;26.70;28.70;2;23.7;80;4.5
2024.0;12.0;5.0;8.0;28.77;28.77;27.77;29.77;2;24.8;80;4.5
2024.0;12.0;5.0;9.0;28.89;28.89;27.89;29.89;2;24.9;80;4.5
2024.0;12.0;5.0;10.0;29.56;29.56;28.56;30.56;2;25.6;80;4.5
2024.0;12.0;5.0;11.0;29.38;29.38;28.38;30.38;2;25.4;80;4.5
2024.0;12.0;5.0;12.0;30.82;30.82;29.82;31.82;2;26.8;80;4.5
2024.0;12.0;5.0;13.0;29.99;29.99;28.99;30.99;2;26.0;80;4.5
2024.0;12.0;5.0;14.0;29.78;29.78;28.78;30.78;2;25.8;80;4.5
2024.0;12.0;5.0;15.0;30.22;30.22;29.22;31.22;2;26.2;80;4.5
2024.0;12.0;5.0;16.0;31.01;31.01;30.01;32.01;2;27.0;80;4.5
2024.0;12.0;5.0;17.0;29.93;29.93;28.93;30.93;2;25.9;80;4.5
2024.0;12.0;5.0;18.0;30.44;30.44;29.44;31.44;2;26.4;80;4.5
2024.0;12.0;5.0;19.0;29.72;29.72;28.72;30.72;2;25.7;80;4.5
2024.0;12.0;5.0;20.0;29.4;29.4;28.40;30.40;2;25.4;80;4.5
2024.0;12.0;5.0;21.0;28.79;28.79;27.79;29.79;2;24.8;80;4.5
2024.0;12.0;5.0;22.0;27.81;27.81;26.81;28.81;2;23.8;80;4.5
2024.0;12.0;5.0;23.0;28.16;28.16;27.16;29.16;2;24.2;80;4.5
2024.0;12.0;5.0;24.0;27.21;27.21;26.21;28.21;2;23.2;80;4.5
2024.0;12.0;6.0;1.0;26.44;26.44;25.44;27.44;2;22.4;80;4.5
2024.0;12.0;6.0;2.0;26.9;26.9;25.90;27.90;2;22.9;80;4.5
2024.0;12.0;6.0;3.0;27.08;27.08;26.08;28.08;2;23.1;80;4.5
2024.0;12.0;6.0;4.0;26.85;26.85;25.85;27.85;2;22.9;80;4.5
2024.0;12.0;6.0;5.0;27.56;27.56;26.56;28.56;2;23.6;80;4.5
2024.0;12.0;6.0;6.0;27.96;27.96;26.96;28.96;2;24.0;80;4.5
2024.0;12.0;6.0;7.0;27.48;27.48;26.48;28.48;2;23.5;80;4.5
2024.0;12.0;6.0;8.0;27.86;27.86;26.86;28.86;2;23.9;80;4.5
2024.0;12.0;6.0;9.0;28.55;28.55;27.55;29.55;2;24.6;80;4.5
2024.0;12.0;6.0;10.0;28.63;28.63;27.63;29.63;2;24.6;80;4.5
2024.0;12.0;6.0;11.0;29.8;29.8;28.80;30.80;2;25.8;80;4.5
2024.0;12.0;6.0;12.0;30.56;30.56;29.56;31.56;2;26.6;80;4.5
2024.0;12.0;6.0;13.0;30.63;30.63;29.63;31.63;2;26.6;80;4.5
2024.0;12.0;6.0;14.0;30.89;30.89;29.89;31.89;2;26.9;80;4.5
2024.0;12.0;6.0;15.0;31.07;31.07;30.07;32.07;2;27.1;80;4.5
2024.0;12.0;6.0;16.0;30.67;30.67;29.67;31.67;2;26.7;80;4.5
2024.0;12.0;6.0;17.0;30.07;30.07;29.07;31.07;2;26.1;80;4.5
2024.0;12.0;6.0;18.0;29.74;29.74;28.74;30.74;2;25.7;80;4.5
2024.0;12.0;6.0;19.0;29.13;29.13;28.13;30.13;2;25.1;80;4.5
2024.0;12.0;6.0;20.0;29.18;29.18;28.18;30.18;2;25.2;80;4.5
2024.0;12.0;6.0;21.0;28.52;28.52;27.52;29.52;2;24.5;80;4.5
2024.0;12.0;6.0;22.0;27.08;27.08;26.08;28.08;2;23.1;80;4.5
2024.0;12.0;6.0;23.0;28.12;28.12;27.12;29.12;2;24.1;80;4.5
2024.0;12.0;6.0;24.0;27.29;27.29;26.29;28.29;2;23.3;80;4.5
2024.0;12.0;7.0;1.0;26.63;26.63;25.63;27.63;2;22.6;80;4.5
2024.0;12.0;7.0;2.0;26.56;26.56;25.56;27.56;2;22.6;80;4.5
2024.0;12.0;7.0;3.0;26.33;26.33;25.33;27.33;2;22.3;80;4.5
2024.0;12.0;7.0;4.0;26.55;26.55;25.55;27.55;2;22.6;80;4.5
2024.0;12.0;7.0;5.0;26.29;26.29;25.29;27.29;2;22.3;80;4.5
2024.0;12.0;7.0;6.0;27.47;27.47;26.47;28.47;2;23.5;80;4.5
2024.0;12.0;7.0;7.0;28.2;28.2;27.20;29.20;2;24.2;80;4.5
2024.0;12.0;7.0;8.0;28.26;28.26;27.26;29.26;2;24.3;80;4.5
2024.0;12.0;7.0;9.0;28.49;28.49;27.49;29.49;2;24.5;80;4.5
2024.0;12.0;7.0;10.0;28.77;28.77;27.77;29.77;2;24.8;80;4.5
2024.0;12.0;7.0;11.0;29.77;29.77;28.77;30.77;2;25.8;80;4.5
2024.0;12.0;7.0;12.0;29.73;29.73;28.73;30.73;2;25.7;80;4.5
2024.0;12.0;7.0;13.0;29.89;29.89;28.89;30.89;2;25.9;80;4.5
2024.0;12.0;7.0;14.0;31.02;31.02;30.02;32.02;2;27.0;80;4.5
2024.0;12.0;7.0;15.0;30.58;30.58;29.58;31.58;2;26.6;80;4.5
2024.0;12.0;7.0;16.0;31.23;31.23;30.23;32.23;2;27.2;80;4.5
2024.0;12.0;7.0;17.0;31.39;31.39;30.39;32.39;2;27.4;80;4.5
2024.0;12.0;7.0;18.0;30.09;30.09;29.09;31.09;2;26.1;80;4.5
2024.0;12.0;7.0;19.0;29.69;29.69;28.69;30.69;2;25.7;80;4.5
2024.0;12.0;7.0;20.0;29.43;29.43;28.43;30.43;2;25.4;80;4.5
2024.0;12.0;7.0;21.0;29.6;29.6;28.60;30.60;2;25.6;80;4.5
2024.0;12.0;7.0;22.0;27.98;27.98;26.98;28.98;2;24.0;80;4.5
2024.0;12.0;7.0;23.0;27.31;27.31;26.31;28.31;2;23.3;80;4.5
2024.0;12.0;7.0;24.0;25.85;25.85;24.85;26.85;2;21.9;80;4.5
2024.0;12.0;8.0;1.0;26.95;26.95;25.95;27.95;2;22.9;80;4.5
2024.0;12.0;8.0;2.0;26.95;26.95;25.95;27.95;2;22.9;80;4.5
2024.0;12.0;8.0;3.0;26.89;26.89;25.89;27.89;2;22.9;80;4.5
2024.0;12.0;8.0;4.0;27.02;27.02;26.02;28.02;2;23.0;80;4.5
2024.0;12.0;8.0;5.0;26.5;26.5;25.50;27.50;2;22.5;80;4.5
2024.0;12.0;8.0;6.0;27.36;27.36;26.36;28.36;2;23.4;80;4.5
2024.0;12.0;8.0;7.0;28.13;28.13;27.13;29.13;2;24.1;80;4.5
2024.0;12.0;8.0;8.0;28.65;28.65;27.65;29.65;2;24.6;80;4.5
2024.0;12.0;8.0;9.0;28.27;28.27;27.27;29.27;2;24.3;80;4.5
2024.0;12.0;8.0;10.0;28.69;28.69;27.69;29.69;2;24.7;80;4.5
2024.0;12.0;8.0;11.0;29.27;29.27;28.27;30.27;2;25.3;80;4.5
2024.0;12.0;8.0;12.0;30.65;30.65;29.65;31.65;2;26.6;80;4.5
2024.0;12.0;8.0;13.0;30.17;30.17;29.17;31.17;2;26.2;80;4.5
2024.0;12.0;8.0;14.0;29.79;29.79;28.79;30.79;2;25.8;80;4.5
2024.0;12.0;8.0;15.0;30.77;30.77;29.77;31.77;2;26.8;80;4.5
2024.0;12.0;8.0;16.0;30.58;30.58;29.58;31.58;2;26.6;80;4.5
2024.0;12.0;8.0;17.0;30.88;30.88;29.88;31.88;2;26.9;80;4.5
2024.0;12.0;8.0;18.0;30.14;30.14;29.14;31.14;2;26.1;80;4.5
2024.0;12.0;8.0;19.0;29.38;29.38;28.38;30.38;2;25.4;80;4.5
2024.0;12.0;8.0;20.0;29.14;29.14;28.14;30.14;2;25.1;80;4.5
2024.0;12.0;8.0;21.0;29.46;29.46;28.46;30.46;2;25.5;80;4.5
2024.0;12.0;8.0;22.0;28.23;28.23;27.23;29.23;2;24.2;80;4.5
2024.0;12.0;8.0;23.0;28.04;28.04;27.04;29.04;2;24.0;80;4.5
2024.0;12.0;8.0;24.0;26.95;26.95;25.95;27.95;2;22.9;80;4.5
2024.0;12.0;9.0;1.0;26.64;26.64;25.64;27.64;2;22.6;80;4.5
2024.0;12.0;9.0;2.0;26.42;26.42;25.42;27.42;2;22.4;80;4.5
2024.0;12.0;9.0;3.0;27.5;27.5;26.50;28.50;2;23.5;80;4.5
2024.0;12.0;9.0;4.0;27.04;27.04;26.04;28.04;2;23.0;80;4.5
2024.0;12.0;9.0;5.0;27.01;27.01;26.01;28.01;2;23.0;80;4.5
2024.0;12.0;9.0;6.0;27.38;27.38;26.38;28.38;2;23.4;80;4.5
2024.0;12.0;9.0;7.0;27.96;27.96;26.96;28.96;2;24.0;80;4.5
2024.0;12.0;9.0;8.0;28.06;28.06;27.06;29.06;2;24.1;80;4.5
2024.0;12.0;9.0;9.0;29.14;29.14;28.14;30.14;2;25.1;80;4.5
2024.0;12.0;9.0;10.0;29.41;29.41;28.41;30.41;2;25.4;80;4.5
2024.0;12.0;9.0;11.0;29.23;29.23;28.23;30.23;2;25.2;80;4.5
2024.0;12.0;9.0;12.0;29.95;29.95;28.95;30.95;2;25.9;80;4.5
2024.0;12.0;9.0;13.0;30.31;30.31;29.31;31.31;2;26.3;80;4.5
2024.0;12.0;9.0;14.0;31.13;31.13;30.13;32.13;2;27.1;80;4.5
2024.0;12.0;9.0;15.0;30.35;30.35;29.35;31.35;2;26.4;80;4.5
2024.0;12.0;9.0;16.0;30.23;30.23;29.23;31.23;2;26.2;80;4.5
2024.0;12.0;9.0;17.0;30.47;30.47;29.47;31.47;2;26.5;80;4.5
2024.0;12.0;9.0;18.0;30.23;30.23;29.23;31.23;2;26.2;80;4.5
2024.0;12.0;9.0;19.0;29.66;29.66;28.66;30.66;2;25.7;80;4.5
2024.0;12.0;9.0;20.0;29.23;29.23;28.23;30.23;2;25.2;80;4.5
2024.0;12.0;9.0;21.0;27.99;27.99;26.99;28.99;2;24.0;80;4.5
2024.0;12.0;9.0;22.0;29.12;29.12;28.12;30.12;2;25.1;80;4.5
2024.0;12.0;9.0;23.0;27.72;27.72;26.72;28.72;2;23.7;80;4.5
2024.0;12.0;9.0;24.0;27.41;27.41;26.41;28.41;2;23.4;80;4.5
2024.0;12.0;10.0;1.0;26.83;26.83;25.83;27.83;2;22.8;80;4.5
2024.0;12.0;10.0;2.0;26.19;26.19;25.19;27.19;2;22.2;80;4.5
2024.0;12.0;10.0;3.0;27.16;27.16;26.16;28.16;2;23.2;80;4.5
2024.0;12.0;10.0;4.0;27.0;27.0;26.00;28.00;2;23.0;80;4.5
2024.0;12.0;10.0;5.0;27.32;27.32;26.32;28.32;2;23.3;80;4.5
2024.0;12.0;10.0;6.0;26.74;26.74;25.74;27.74;2;22.7;80;4.5
2024.0;12.0;10.0;7.0;27.61;27.61;26.61;28.61;2;23.6;80;4.5
2024.0;12.0;10.0;8.0;28.18;28.18;27.18;29.18;2;24.2;80;4.5
2024.0;12.0;10.0;9.0;29.44;29.44;28.44;30.44;2;25.4;80;4.5
2024.0;12.0;10.0;10.0;28.99;28.99;27.99;29.99;2;25.0;80;4.5
2024.0;12.0;10.0;11.0;30.4;30.4;29.40;31.40;2;26.4;80;4.5
2024.0;12.0;10.0;12.0;29.78;29.78;28.78;30.78;2;25.8;80;4.5
2024.0;12.0;10.0;13.0;30.04;30.04;29.04;31.04;2;26.0;80;4.5
